id,name,region,type,area_sq_km,damage_percent,type_of_damage,new_type,budget_million_usd,success_rate_percent,recovery_priority,duration,funding_source
1,Location 1,7,3,9.72,61.2,2,5,446.59,93.0,2,340,2
2,Location 2,20,5,26.22,71.5,2,2,253.13,66.2,3,335,6
3,Location 3,15,4,40.61,79.1,6,3,414.11,79.4,2,583,3
4,Location 4,11,5,13.44,43.6,2,2,207.06,72.9,3,327,2
5,Location 5,8,4,13.04,61.3,2,5,60.17,51.3,3,114,5
6,Location 6,21,2,20.74,88.1,4,3,40.14,50.0,3,418,1
7,Location 7,7,3,44.84,75.8,1,3,35.15,50.0,3,468,3
8,Location 8,26,4,1.02,58.8,5,5,196.27,64.9,3,143,2
9,Location 9,19,1,45.17,76.4,2,3,175.25,62.6,3,609,6
10,Location 10,23,1,8.54,38.3,5,3,361.79,94.3,3,309,3
11,Location 11,11,4,49.51,58.1,7,2,373.98,78.1,3,401,4
12,Location 12,11,4,47.79,85.5,5,3,34.92,50.0,3,320,1
13,Location 13,24,4,25.24,45.4,4,5,118.35,65.6,2,212,5
14,Location 14,21,1,26.12,43.0,2,1,144.39,74.1,2,317,4
15,Location 15,4,1,24.6,96.6,6,1,278.33,66.2,1,185,3
16,Location 16,8,4,32.14,44.7,5,1,80.81,61.2,3,205,2
17,Location 17,24,5,5.45,48.3,2,5,75.63,70.0,2,364,1
18,Location 18,3,5,2.6,97.9,3,1,472.46,82.1,2,216,6
19,Location 19,22,2,3.83,81.4,7,2,404.06,76.0,2,246,5
20,Location 20,21,3,22.77,79.0,6,5,98.52,50.0,2,239,2
21,Location 21,2,5,14.5,89.7,3,5,209.22,61.8,2,391,5
22,Location 22,24,1,31.48,38.1,3,5,184.25,78.1,2,520,6
23,Location 23,12,5,49.63,79.4,5,3,397.59,86.9,1,590,1
24,Location 24,6,2,19.93,65.3,3,3,260.0,72.8,2,277,3
25,Location 25,2,2,29.12,88.0,4,3,72.65,50.1,1,202,5
26,Location 26,21,3,21.36,65.6,4,4,372.11,85.1,1,214,1
27,Location 27,1,5,42.52,73.4,5,2,204.48,63.1,3,606,5
28,Location 28,12,1,45.21,63.4,2,5,138.83,61.1,3,478,2
29,Location 29,26,1,43.99,63.5,1,5,193.99,63.6,3,508,5
30,Location 30,22,4,48.74,83.8,2,3,253.9,62.1,2,75,2
31,Location 31,12,1,2.35,74.0,2,5,178.13,67.4,3,669,2
32,Location 32,25,3,42.15,74.3,2,5,128.53,59.7,2,665,1
33,Location 33,17,3,37.84,61.5,2,1,205.27,68.0,2,142,4
34,Location 34,10,1,12.21,67.2,6,5,19.39,50.0,3,590,6
35,Location 35,16,1,47.86,82.2,1,4,388.52,73.4,3,322,5
36,Location 36,15,4,8.26,87.8,6,3,93.76,55.1,1,694,3
37,Location 37,15,1,34.3,78.8,3,2,31.51,52.6,1,461,2
38,Location 38,19,4,12.02,94.7,7,2,330.31,75.5,2,670,4
39,Location 39,12,4,22.14,87.4,2,1,389.23,77.5,2,146,2
40,Location 40,23,1,36.24,69.3,7,2,408.78,78.2,3,54,4
41,Location 41,20,2,28.6,77.0,4,2,251.82,66.9,3,356,4
42,Location 42,25,2,21.95,94.8,5,3,110.63,52.7,1,277,3
43,Location 43,3,4,16.99,73.3,5,3,371.24,85.3,3,595,4
44,Location 44,5,1,42.14,87.7,6,4,352.86,68.7,2,400,3
45,Location 45,19,2,8.05,78.2,6,1,130.67,59.9,3,668,1
46,Location 46,7,1,22.08,68.6,4,2,452.67,95.0,1,516,2
47,Location 47,21,1,45.28,46.9,2,4,61.14,60.0,2,499,3
48,Location 48,9,1,42.45,59.8,7,1,491.52,93.1,1,311,6
49,Location 49,7,5,20.65,97.7,7,2,431.52,79.2,1,271,2
50,Location 50,18,1,38.39,76.0,1,2,347.07,82.0,2,576,6
51,Location 51,4,5,41.33,69.5,3,3,469.99,94.4,1,449,5
52,Location 52,25,4,44.56,95.3,5,5,363.93,63.4,3,112,6
53,Location 53,14,2,27.68,71.1,3,1,103.32,57.2,3,239,1
54,Location 54,18,2,11.02,66.8,1,2,226.66,70.4,1,144,5
55,Location 55,26,2,13.51,83.2,6,1,45.04,50.0,3,374,5
56,Location 56,9,2,15.49,79.9,7,4,200.93,61.5,1,20,4
57,Location 57,26,2,30.1,43.5,5,4,373.39,89.7,3,576,6
58,Location 58,21,2,2.61,63.0,3,5,199.36,71.1,1,289,4
59,Location 59,2,2,32.17,63.1,6,2,171.84,62.9,3,593,6
60,Location 60,20,4,18.85,56.5,1,3,301.72,75.0,2,197,5
61,Location 61,15,1,15.47,66.2,3,2,437.38,89.4,2,382,4
